Date,SPX,GLD,USO,SLV,EUR/USD
10/24/2022,3997.34,66.60,74.21,17.86,1.00
10/25/2022,3997.34,66.95,74.06,18.06,1.00
10/26/2022,3991.05,66.40,74.68,18.09,1.01
10/27/2022,4012.32,66.50,76.83,17.36,0.99
10/28/2022,3970.04,66.50,78.04,16.92,1.00
10/29/2022,3982.24,66.40,76.50,16.90,0.99
10/30/2022,3970.15,66.60,75.85,17.45,0.99
10/31/2022,3951.39,66.50,78.69,17.37,1.00
11/1/2022,3981.35,66.60,75.47,17.50,1.00
11/2/2022,4045.64,66.60,73.11,19.10,1.00
11/3/2022,4048.42,66.80,70.95,19.36,1.01
11/4/2022,3986.37,66.60,71.43,18.99,1.00
11/5/2022,3992.01,66.40,71.42,19.04,1.00
11/6/2022,3918.32,66.80,67.62,18.50,1.00
11/7/2022,3861.59,66.50,68.09,18.09,1.00
11/8/2022,3855.76,66.55,71.10,17.68,1.00
11/9/2022,3803.79,66.50,72.37,17.59,1.00
11/10/2022,3808.26,66.50,72.01,17.39,0.98
11/11/2022,3863.18,66.55,72.73,18.00,0.98
11/12/2022,3843.80,66.50,69.76,17.63,0.97
11/13/2022,3758.68,66.50,69.90,17.99,0.96
11/14/2022,3698.15,66.60,70.05,17.99,0.96
11/15/2022,3708.84,66.20,69.22,17.73,0.97
11/16/2022,3764.70,66.50,68.68,18.06,0.98
11/17/2022,3786.28,66.30,68.97,18.09,0.98
11/18/2022,3744.22,66.30,65.32,17.36,0.98
11/19/2022,3859.89,66.30,63.20,16.92,1.00
11/20/2022,3944.82,66.30,64.42,16.90,0.99
11/21/2022,3956.40,66.30,67.13,17.45,0.98
11/22/2022,3953.17,66.30,66.77,17.37,0.97
11/23/2022,3954.34,66.50,65.28,17.50,0.97
11/24/2022,3906.54,66.30,67.89,19.10,0.97
11/25/2022,4001.48,66.70,70.28,19.36,0.97
11/26/2022,4008.97,66.60,71.94,18.99,0.98
11/27/2022,4028.84,66.90,72.99,19.04,0.97
11/28/2022,3983.09,66.70,75.10,18.50,0.98
11/29/2022,3954.33,66.60,73.78,18.09,0.99
11/30/2022,3979.89,66.85,71.75,17.68,0.98
12/1/2022,3962.00,66.70,70.93,17.59,0.98
12/2/2022,4005.88,66.50,72.52,17.39,0.99
12/3/2022,4033.78,66.85,70.17,16.81,0.99
12/4/2022,4034.02,66.85,70.13,17.12,1.00
12/5/2022,4012.27,66.40,68.70,17.23,1.01
12/6/2022,3976.77,66.85,70.04,17.01,1.00
12/7/2022,4080.11,66.50,70.18,17.17,1.00
12/8/2022,4100.51,66.40,70.57,17.76,0.99
12/9/2022,3797.34,66.55,70.38,17.68,0.99
12/10/2022,3859.11,66.50,70.61,17.86,0.98
12/11/2022,3830.60,66.60,72.97,17.98,0.98
12/12/2022,3807.30,66.55,73.62,17.98,1.00
12/13/2022,3901.06,66.90,72.82,17.74,1.00
12/14/2022,3871.98,66.60,71.53,17.62,1.01
12/15/2022,3856.10,66.90,73.12,18.05,1.00
12/16/2022,3759.69,66.90,74.08,17.73,1.02
12/17/2022,3719.89,66.80,73.29,17.94,1.04
12/18/2022,3770.55,66.90,76.82,19.26,1.03
12/19/2022,3806.80,67.10,76.56,19.15,1.03
12/20/2022,3828.11,66.75,74.47,19.70,1.04
12/21/2022,3748.57,67.20,71.67,19.36,1.04
12/22/2022,3956.37,67.10,72.24,19.97,1.03
12/23/2022,3992.93,67.40,74.38,19.95,1.02
12/24/2022,3957.25,67.20,71.91,20.24,1.03
12/25/2022,3991.73,68.00,73.25,19.88,1.04
12/26/2022,3958.79,67.70,72.04,19.74,1.04
12/27/2022,3946.56,67.90,70.14,19.29,1.04
12/28/2022,3965.34,68.10,69.03,19.25,1.03
12/29/2022,3949.94,67.70,69.03,19.20,1.03
12/30/2022,4003.58,67.80,69.98,19.43,1.04
12/31/2022,4027.26,66.90,67.41,19.81,1.05
1/1/2023,4026.12,67.70,66.96,19.72,1.05
1/2/2023,3963.94,66.90,66.88,19.26,1.05
1/3/2023,3957.63,67.00,68.34,19.56,1.05
1/4/2023,4080.11,67.00,70.23,20.43,1.05
1/5/2023,4076.57,66.90,70.45,20.98,1.06
1/6/2023,4071.70,67.40,69.84,21.29,1.05
1/7/2023,3998.84,67.00,67.72,20.44,1.05
1/8/2023,3941.26,67.10,65.23,20.44,1.06
1/9/2023,3933.92,67.10,63.65,20.92,1.07
1/10/2023,3963.51,66.90,62.71,21.21,1.06
1/11/2023,3934.38,66.70,62.85,21.56,1.06
1/12/2023,3990.56,66.80,64.41,21.46,1.06
1/13/2023,4019.65,66.90,65.86,21.83,1.06
1/14/2023,3995.32,66.95,67.36,21.99,1.06
1/15/2023,3895.75,66.80,66.15,21.24,1.06
1/16/2023,3852.36,67.10,64.90,21.37,1.06
1/17/2023,3817.66,66.95,66.07,21.12,1.06
1/18/2023,3821.62,66.95,66.22,22.23,1.06
1/19/2023,3878.44,66.95,68.06,22.07,1.06
1/20/2023,3822.39,66.90,67.70,21.69,1.07
1/21/2023,3844.82,66.95,69.32,21.85,1.07
1/22/2023,3829.25,67.00,69.53,22.11,1.07
1/23/2023,3783.22,66.95,68.58,21.60,1.05
1/24/2023,3849.28,66.85,68.53,21.97,1.06
1/25/2023,3839.50,67.00,70.11,22.02,1.05
1/26/2023,3824.14,67.00,67.64,22.05,1.06
1/27/2023,3852.97,66.80,64.30,21.89,1.07
1/28/2023,3808.10,66.80,64.78,21.39,1.07
1/29/2023,3895.08,66.90,64.83,21.92,1.08
1/30/2023,3892.09,66.75,65.88,21.74,1.08
1/31/2023,3919.25,66.80,65.90,21.73,1.08
2/1/2023,3969.61,66.65,68.05,21.55,1.08
2/2/2023,3983.17,66.75,68.61,21.88,1.08
2/3/2023,3999.09,66.70,70.05,22.33,1.08
2/4/2023,3990.97,66.75,70.86,22.01,1.08
2/5/2023,3928.86,66.70,69.51,21.57,1.09
2/6/2023,3898.85,66.70,70.59,21.96,1.09
2/7/2023,3972.61,66.60,71.55,22.02,1.09
2/8/2023,4019.81,66.70,71.50,21.58,1.09
2/9/2023,4016.95,66.70,70.22,21.76,1.09
2/10/2023,4016.22,66.70,70.51,21.97,1.09
2/11/2023,4060.43,66.65,70.93,21.99,1.08
2/12/2023,4070.56,66.70,69.50,21.68,1.09
2/13/2023,4017.77,66.65,68.10,21.66,1.10
2/14/2023,4076.60,66.60,69.32,21.83,1.09
2/15/2023,4119.21,66.50,67.36,22.08,1.08
2/16/2023,4179.76,66.50,66.57,21.57,1.07
2/17/2023,4136.48,66.40,64.40,20.57,1.07
2/18/2023,4111.08,66.45,65.50,20.48,1.07
2/19/2023,4164.00,66.45,67.76,20.38,1.07
2/20/2023,4117.86,66.50,68.68,20.48,1.07
2/21/2023,4081.50,66.50,67.92,20.18,1.07
2/22/2023,4090.46,66.50,69.87,20.24,1.07
2/23/2023,4137.29,66.45,69.50,20.20,1.07
2/24/2023,4136.13,66.50,69.40,20.12,1.07
2/25/2023,4147.60,66.55,69.02,19.89,1.07
2/26/2023,4090.41,66.55,68.45,19.84,1.07
2/27/2023,4079.09,66.50,67.02,20.01,1.06
2/28/2023,3997.34,66.55,66.69,20.07,1.06
3/1/2023,3991.05,66.35,64.92,19.75,1.06
3/2/2023,4012.32,66.40,66.38,19.63,1.05
3/3/2023,3970.04,66.20,67.10,19.09,1.06
3/4/2023,3982.24,66.35,66.25,18.93,1.06
3/5/2023,3970.15,66.20,67.21,19.22,1.07
3/6/2023,3951.39,66.20,68.07,19.29,1.06
3/7/2023,3981.35,66.20,68.30,19.24,1.06
